organisatie;org_afk;soort;onderwerp;jaar;maand;maand_nr;aantal
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;mrt;3;0,00000000000000000
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;apr;4;0,60318889845762802
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;apr;4;0,61475101437261781
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;apr;4;2,75898204010031645
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;apr;4;0,00000000000000000
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;mei;5;0,57802499967536181
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;mei;5;0,06146995091393907
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;mei;5;2,70649120376528041
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;mei;5;0,11909802989575695
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;jun;6;0,54013780923783850
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;jun;6;1,26618113881694994
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;jun;6;1,98524328253472393
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;jun;6;0,27523796960070918
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;jul;7;0,35559670155510198
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;jul;7;0,37317654020531238
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;jul;7;2,38538487175114566
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;jul;7;0,27615537249181960
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;aug;8;0,58280423697013384
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;aug;8;0,50224050593531477
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;aug;8;2,32189158847204302
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;aug;8;0,51602114413863909
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;sep;9;0,76152484535656273
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;sep;9;0,05041434437210236
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;sep;9;2,33834194716450483
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;sep;9;1,01057486238225214
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;okt;10;1,19713959582464957
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;okt;10;0,74278217569380844
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;okt;10;1,97987137829534166
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;okt;10;0,99958015922507626
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;nov;11;0,90899153515396536
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;nov;11;1,19142967252080711
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;nov;11;2,12922514224436110
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;nov;11;0,91957159533104982
Hoge Colleges van Staat;HCvS;Divers;zv% 1-7;2018;dec;12;0,75346662645719320
Hoge Colleges van Staat;HCvS;Divers;zv% 8-42;2018;dec;12;0,37843517278868705
Hoge Colleges van Staat;HCvS;Divers;zv% 43-365;2018;dec;12;2,30639234585781594
Hoge Colleges van Staat;HCvS;Divers;zv%> 1 jaar;2018;dec;12;0,95409397107607086
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;jan;1;1,12365519069393272
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;jan;1;1,93117733293361038
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;jan;1;3,09926480164590146
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;jan;1;0,28996829499169352
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;feb;2;1,24202768007992836
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;feb;2;2,24964910146949171
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;feb;2;3,45198745609465618
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;feb;2;0,24471435225567489
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;mrt;3;0,98276115331594660
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;mrt;3;1,85388602960440219
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;mrt;3;3,55020417277202149
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;mrt;3;0,32413523108704617
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;apr;4;0,64036907032830914
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;apr;4;1,05598324741371252
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;apr;4;3,62311383106143126
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;apr;4;0,34105350187858152
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;mei;5;0,26455521653494762
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;mei;5;1,21629414855330520
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;mei;5;3,44558651548352612
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;mei;5;0,33700266648717947
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;jun;6;0,47540657943119119
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;jun;6;0,77059255045123154
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;jun;6;3,55846150999147870
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;jun;6;0,35694969558626705
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;jul;7;0,38623628964374512
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;jul;7;0,77516731774414527
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;jul;7;3,46273088992109201
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;jul;7;0,34765566182495555
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;aug;8;0,45167748510759842
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;aug;8;0,83248625542933952
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;aug;8;3,39977487725889471
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;aug;8;0,38974821697639322
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;sep;9;0,63762705912952855
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;sep;9;1,38306149948287027
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;sep;9;3,21736104515061649
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;sep;9;0,46038184863202575
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;okt;10;0,74816402563696915
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;okt;10;1,26663415609673757
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;okt;10;3,50956584820581030
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;okt;10;0,44298952482824988
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;nov;11;0,90077679146561362
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;nov;11;1,35905890315203837
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 43-365;2018;nov;11;3,27904785151079770
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv%> 1 jaar;2018;nov;11;0,53148277594799886
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 1-7;2018;dec;12;0,54392278685649298
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;zv% 8-42;2018;dec;12;1,08313637207083313
