organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;13
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;13
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;73
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;20
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;11
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;14
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;2
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;5
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;1
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;12
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;1
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;2
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;4
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;2
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;109
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;8
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;490
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;7
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;34
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;66
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;77
